tau1,tau2,tau3,fidelity
0.25,0.25,0.25,0.908681357725934
0.25,0.25,0.5,0.8575859133737979
0.25,0.25,0.75,0.7740268848615421
0.25,0.25,1.0,0.7115255149763717
0.25,0.5,-0.25,0.8471051886776115
0.25,0.5,0.0,0.8698706280790529
0.25,0.5,0.25,0.8573612160848743
0.25,0.5,0.5,0.8570536125228015
0.25,0.5,0.75,0.7976229049432255
0.25,0.75,0.0,0.7825579270749806
0.25,0.75,0.25,0.7993353047687453
0.25,0.75,0.5,0.7885108508855698
0.25,1.0,0.25,0.740077300558174
0.5,-1.0,-0.5,0.7453325634343618
0.5,-0.75,-0.75,0.7780890954658276
0.5,-0.75,-0.5,0.8011561110795747
0.5,-0.75,-0.25,0.7911610263230773
0.5,-0.5,-1.0,0.7212652703357492
0.5,-0.5,-0.75,0.7945556621835429
0.5,-0.5,-0.5,0.8386892860631461
0.5,-0.5,-0.25,0.8548274214723834
0.5,-0.5,0.0,0.8521844945985789
0.5,-0.25,-0.75,0.7826152708988042
0.5,-0.25,-0.5,0.835505535634639
0.5,-0.25,-0.25,0.8687599952114478
0.5,-0.25,0.0,0.8862355071786516
0.5,-0.25,0.25,0.8707318615917272
0.5,0.0,-0.5,0.8442306962112739
0.5,0.0,-0.25,0.872416151895372
0.5,0.0,0.0,0.8854291601427623
0.5,0.0,0.25,0.8679754042279288
0.5,0.0,0.5,0.8208432265819524
0.5,0.25,-0.25,0.8781070488302662
0.5,0.25,0.0,0.8749733362813901
0.5,0.25,0.25,0.8776410235545803
0.5,0.25,0.5,0.8260595052747937
0.5,0.25,0.75,0.7689972111069532
0.5,0.5,0.0,0.8464404961486319
0.5,0.5,0.25,0.8547862806625328
0.5,0.5,0.5,0.8174845576427738
0.5,0.5,0.75,0.7899037446986706
0.5,0.5,1.0,0.7135774280241809
0.5,0.75,0.25,0.7943120335296757
0.5,0.75,0.5,0.8003679293334163
0.5,0.75,0.75,0.7571372945607949
0.5,1.0,0.5,0.7535248998302284
0.75,-1.0,-0.75,0.7325808622252314
0.75,-0.75,-1.0,0.7200845637695269
0.75,-0.75,-0.75,0.7513165027816928
0.75,-0.75,-0.5,0.777645122817203
0.75,-0.5,-0.75,0.7866993511971037
0.75,-0.5,-0.5,0.7897242328226179
0.75,-0.5,-0.25,0.8155645128000243
0.75,-0.25,-0.5,0.8116917840500318
0.75,-0.25,-0.25,0.8037645592607658
0.75,-0.25,0.0,0.8270978300480277
0.75,0.0,-0.25,0.8177334514829049
0.75,0.0,0.0,0.81258996489114
0.75,0.0,0.25,0.8183548398049245
0.75,0.25,0.0,0.8223220768984973
0.75,0.25,0.25,0.8004466251207354
0.75,0.25,0.5,0.7956689699983746
0.75,0.5,0.25,0.8088288487210604
0.75,0.5,0.5,0.7967162047346246
0.75,0.5,0.75,0.7574690807537214
0.75,0.75,0.5,0.7593846213201836
0.75,0.75,0.75,0.72679896246302
0.75,0.75,1.0,0.7040866118937065
0.75,1.0,0.75,0.6794225300254261
1.0,-1.0,-1.0,0.6724731007941357
1.0,-0.75,-0.75,0.7153683238362367
1.0,-0.5,-0.5,0.7566660973747203
1.0,-0.25,-0.25,0.7533775647616283
1.0,0.0,0.0,0.7530730333587276
1.0,0.25,0.25,0.7431638527957016
1.0,0.5,0.5,0.7366727854157
1.0,0.75,0.75,0.7003420151049626
1.0,1.0,1.0,0.629477706865454
