tau1,tau2,tau3,fidelity
0.5,0.75,0.75,0.7685496729067244
0.5,1.0,0.5,0.7491664029300509
0.75,-1.0,-0.75,0.7090670394768164
0.75,-0.75,-1.0,0.7030689523468728
0.75,-0.75,-0.75,0.7403452125245102
0.75,-0.75,-0.5,0.7653899224673166
0.75,-0.5,-0.75,0.7605656208276099
0.75,-0.5,-0.5,0.7857077195983053
0.75,-0.5,-0.25,0.8062437608362396
0.75,-0.25,-0.5,0.7921008956335112
0.75,-0.25,-0.25,0.8078898800787055
0.75,-0.25,0.0,0.7915433660164034
0.75,0.0,-0.25,0.7991487157038345
0.75,0.0,0.0,0.8082635035706163
0.75,0.0,0.25,0.8057667172074507
0.75,0.25,0.0,0.8020180344459483
0.75,0.25,0.25,0.797920645981635
0.75,0.25,0.5,0.7979734957718806
0.75,0.5,0.25,0.8020974568033277
0.75,0.5,0.5,0.7920066496688276
0.75,0.5,0.75,0.7621776456331624
0.75,0.75,0.5,0.7593702428374498
0.75,0.75,0.75,0.7319632586935823
0.75,0.75,1.0,0.7038037249059952
0.75,1.0,0.75,0.708367557939773
1.0,-1.0,-1.0,0.6494722814303316
1.0,-0.75,-0.75,0.705430275592144
1.0,-0.5,-0.5,0.7333218630525893
1.0,-0.25,-0.25,0.728094658820547
1.0,0.0,0.0,0.7286130872334002
1.0,0.25,0.25,0.7324657272159727
1.0,0.5,0.5,0.7325873965714906
1.0,0.75,0.75,0.7009994553612651
1.0,1.0,1.0,0.6419126021375252
