lambda1, lambda2, lambda3, fidelidad
0.25,0.25,0.75,0.7262062794486441
0.25,0.25,1.0,0.7977120877295518
0.25,0.5,-0.25,0.6486804865658128
0.25,0.5,0.0,0.6459539952090685
0.25,0.5,0.25,0.6516826911736031
0.25,0.5,0.5,0.6793539690764343
0.25,0.5,0.75,0.7345806967535465
0.25,0.75,0.0,0.7210990084768412
0.25,0.75,0.25,0.7203066974727625
0.25,0.75,0.5,0.7280811231830158
0.25,1.0,0.25,0.7901481006209118
0.5,-1.0,-0.5,0.8042183580956245
0.5,-0.75,-0.75,0.7686171366541685
0.5,-0.75,-0.5,0.7374085650735536
0.5,-0.75,-0.25,0.7275932559903641
0.5,-0.5,-1.0,0.8077834039733593
0.5,-0.5,-0.75,0.7458316091911026
0.5,-0.5,-0.5,0.7043542425696754
0.5,-0.5,-0.25,0.6823151217128153
0.5,-0.5,0.0,0.6811354768474174
0.5,-0.25,-0.75,0.7399056069035791
0.5,-0.25,-0.5,0.6905536339088869
0.5,-0.25,-0.25,0.6677766948312854
0.5,-0.25,0.0,0.658822438042658
0.5,-0.25,0.25,0.6709515579434919
0.5,0.0,-0.5,0.6830841507342098
0.5,0.0,-0.25,0.6607473352955272
0.5,0.0,0.0,0.6628478948512703
0.5,0.0,0.25,0.6629469872398668
0.5,0.0,0.5,0.6850747462725616
0.5,0.25,-0.25,0.6671447891619335
0.5,0.25,0.0,0.6684765943414188
0.5,0.25,0.25,0.6646845614015757
0.5,0.25,0.5,0.6919365558505552
0.5,0.25,0.75,0.7398523423073843
0.5,0.5,0.0,0.6782086072979503
0.5,0.5,0.25,0.6769176009151163
0.5,0.5,0.5,0.7013167257764356
0.5,0.5,0.75,0.7406536168252463
0.5,0.5,1.0,0.8063412334503768
0.5,0.75,0.25,0.7284313787947333
0.5,0.75,0.5,0.7338330490450315
0.5,0.75,0.75,0.7670689112224842
0.5,1.0,0.5,0.7993906475982873
0.75,-1.0,-0.75,0.8360404891702594
0.75,-0.75,-1.0,0.8369198061566969
0.75,-0.75,-0.75,0.8010225334592607
0.75,-0.75,-0.5,0.7677767946143654
0.75,-0.5,-0.75,0.7689737155295715
0.75,-0.5,-0.5,0.7531916383586694
0.75,-0.5,-0.25,0.7444183574535339
0.75,-0.25,-0.5,0.7505416722701372
0.75,-0.25,-0.25,0.7304776666129268
0.75,-0.25,0.0,0.7337973489617645
0.75,0.0,-0.25,0.7351478586156869
0.75,0.0,0.0,0.736316265185847
0.75,0.0,0.25,0.7401022916049858
0.75,0.25,0.0,0.7318562044712473
0.75,0.25,0.25,0.7345458800241806
0.75,0.25,0.5,0.7482789051722581
0.75,0.5,0.25,0.7447345539586057
0.75,0.5,0.5,0.7492753284560851
0.75,0.5,0.75,0.7714413817009045
0.75,0.75,0.5,0.7704223345208582
0.75,0.75,0.75,0.8005304391898062
0.75,0.75,1.0,0.8352969264892126
0.75,1.0,0.75,0.8313616403738461
1.0,-1.0,-1.0,0.900319763539577
1.0,-0.75,-0.75,0.8374345982540463
1.0,-0.5,-0.5,0.8219145043612455
1.0,-0.25,-0.25,0.8069889395394585
1.0,0.0,0.0,0.8057839049524836
1.0,0.25,0.25,0.8047603447993068
1.0,0.5,0.5,0.8181566269227004
1.0,0.75,0.75,0.8341384069716936
1.0,1.0,1.0,0.900000817641063
