lambda1, lambda2, lambda3, fidelidad
0.75,-0.75,-0.75,0.7501754281974862
0.75,-0.75,-0.5,0.7396209456261685
0.75,-0.5,-0.75,0.7164555663185349
0.75,-0.5,-0.5,0.7035577451604155
0.75,-0.5,-0.25,0.7059584952692579
0.75,-0.25,-0.5,0.6727182885794785
0.75,-0.25,-0.25,0.6629638614349876
0.75,-0.25,0.0,0.7214862183154668
0.75,0.0,-0.25,0.704829500246702
0.75,0.0,0.0,0.6663558031935247
0.75,0.0,0.25,0.6830627696314205
0.75,0.25,0.0,0.6979236417784189
0.75,0.25,0.25,0.7165079073521914
0.75,0.25,0.5,0.6930418075920407
0.75,0.5,0.25,0.7000904376144098
0.75,0.5,0.5,0.6915945156932388
0.75,0.5,0.75,0.7020456994762423
0.75,0.75,0.5,0.7161812941615827
0.75,0.75,0.75,0.7529557541326252
0.75,0.75,1.0,0.7863989007547418
0.75,1.0,0.75,0.7517254923878735
1.0,-1.0,-1.0,0.8364958284938113
1.0,-0.75,-0.75,0.7972710472630775
1.0,-0.5,-0.5,0.7792080610881357
1.0,-0.25,-0.25,0.7786443220027092
1.0,0.0,0.0,0.778499306639408
1.0,0.25,0.25,0.7786443220027099
1.0,0.5,0.5,0.7792080610881369
1.0,0.75,0.75,0.8179371111581846
1.0,1.0,1.0,0.8790706303057623
