lambda1, lambda2, lambda3, fidelidad
-0.25,-0.25,0.5,0.948058252195057
-0.25,-0.25,0.75,0.8618349367558886
-0.25,-0.25,1.0,0.5834782397673168
-0.25,0.0,-0.75,0.7203664911008768
-0.25,0.0,-0.5,0.9322007581730787
-0.25,0.0,-0.25,0.9628990837613512
-0.25,0.0,0.0,0.9601751820921277
-0.25,0.0,0.25,0.9799175475582335
-0.25,0.0,0.5,0.9217403514524594
-0.25,0.0,0.75,0.7617967166901974
-0.25,0.25,-1.0,0.5884030896933591
-0.25,0.25,-0.75,0.8701078210279585
-0.25,0.25,-0.5,0.9380200192582029
-0.25,0.25,-0.25,0.9804956328162989
-0.25,0.25,0.0,0.9744443765940006
-0.25,0.25,0.25,0.9557754255809001
-0.25,0.25,0.5,0.7584810214528558
-0.25,0.5,-0.75,0.7598135334546079
-0.25,0.5,-0.5,0.9083445937610942
-0.25,0.5,-0.25,0.9405538942323762
-0.25,0.5,0.0,0.9259394596543487
-0.25,0.5,0.25,0.7876402986598192
-0.25,0.75,-0.5,0.7508492629357472
-0.25,0.75,-0.25,0.836976167128394
-0.25,0.75,0.0,0.7494125563548076
-0.25,1.0,-0.25,0.5732897083220648
0.0,-1.0,0.0,0.5500907804208296
0.0,-0.75,-0.25,0.7855683480597647
0.0,-0.75,0.0,0.8571759504534463
0.0,-0.75,0.25,0.7186025407172716
0.0,-0.5,-0.5,0.7675535178729944
0.0,-0.5,-0.25,0.9044833911944268
0.0,-0.5,0.0,0.940138519380449
0.0,-0.5,0.25,0.9212333217858157
0.0,-0.5,0.5,0.7766350875738807
0.0,-0.25,-0.75,0.7416294510014002
0.0,-0.25,-0.5,0.9205554197942208
0.0,-0.25,-0.25,0.9527459475541338
0.0,-0.25,0.0,0.9765814494949676
0.0,-0.25,0.25,0.965516482797795
0.0,-0.25,0.5,0.9136802254462316
0.0,-0.25,0.75,0.7582190154911453
0.0,0.0,-1.0,0.5855623805732246
0.0,0.0,-0.75,0.8547623325497755
0.0,0.0,-0.5,0.9577269036496912
0.0,0.0,-0.25,0.9806890703764694
0.0,0.0,0.0,0.9875064027180088
0.0,0.0,0.25,0.9787661453571623
0.0,0.0,0.5,0.9568671092546688
0.0,0.0,0.75,0.8687274917640003
0.0,0.0,1.0,0.6075015588249787
0.0,0.25,-0.75,0.7446234818065017
0.0,0.25,-0.5,0.9045677024567416
0.0,0.25,-0.25,0.9696298806475726
0.0,0.25,0.0,0.9906481916138172
0.0,0.25,0.25,0.9721220674329728
0.0,0.25,0.5,0.9426610192039763
0.0,0.25,0.75,0.7557730313157616
0.0,0.5,-0.5,0.7171353124695122
0.0,0.5,-0.25,0.9299574552081886
0.0,0.5,0.0,0.9580692731803896
0.0,0.5,0.25,0.9437851082963964
0.0,0.5,0.5,0.7419253009508028
0.0,0.75,-0.25,0.7816598448498143
0.0,0.75,0.0,0.8949132121914041
0.0,0.75,0.25,0.7767511144076757
0.0,1.0,0.0,0.5445125422433188
0.25,-1.0,-0.25,0.5358383736479913
0.25,-0.75,-0.5,0.7174950607375149
0.25,-0.75,-0.25,0.8478472572153289
0.25,-0.75,0.0,0.7356858527285721
0.25,-0.5,-0.75,0.7210560602763382
0.25,-0.5,-0.5,0.885986941671846
0.25,-0.5,-0.25,0.9307029581610957
0.25,-0.5,0.0,0.9154141941489343
0.25,-0.5,0.25,0.7649664484314886
0.25,-0.25,-1.0,0.5712496646995949
0.25,-0.25,-0.75,0.8264190047187346
0.25,-0.25,-0.5,0.9213128417543152
0.25,-0.25,-0.25,0.9540482195088531
0.25,-0.25,0.0,0.9474335808502696
0.25,-0.25,0.25,0.9070204110876355
0.25,-0.25,0.5,0.7871747655685657
0.25,0.0,-0.75,0.7351345058355002
0.25,0.0,-0.5,0.931932683960898
0.25,0.0,-0.25,0.9629154281206491
0.25,0.0,0.0,0.9761872178471492
0.25,0.0,0.25,0.9552366251558694
0.25,0.0,0.5,0.8827592181676724
0.25,0.0,0.75,0.7142806592657356
0.25,0.25,-0.5,0.7534721304083691
0.25,0.25,-0.25,0.9335933292396071
0.25,0.25,0.0,0.9604035492577251
0.25,0.25,0.25,0.9653515505881882
0.25,0.25,0.5,0.9253286069250453
0.25,0.25,0.75,0.8730460797208596
0.25,0.25,1.0,0.6079576695011366
0.25,0.5,-0.25,0.7939834502711842
0.25,0.5,0.0,0.909733159161978
0.25,0.5,0.25,0.943484464225821
0.25,0.5,0.5,0.8943826444948069
0.25,0.5,0.75,0.8129972847127687
0.25,0.75,0.0,0.7445954928633312
0.25,0.75,0.25,0.8704530967163177
0.25,0.75,0.5,0.7734406368857204
0.25,1.0,0.25,0.614094915622944
0.5,-1.0,-0.5,0.5126504115477184
0.5,-0.75,-0.75,0.6813869994412917
0.5,-0.75,-0.5,0.8594647387871894
0.5,-0.75,-0.25,0.7138829164084455
0.5,-0.5,-1.0,0.5762462961268184
0.5,-0.5,-0.75,0.8214687128287281
0.5,-0.5,-0.5,0.8733742541901831
0.5,-0.5,-0.25,0.8825965298264906
0.5,-0.5,0.0,0.7250237404695905
0.5,-0.25,-0.75,0.7169515964921368
0.5,-0.25,-0.5,0.9022919663512683
0.5,-0.25,-0.25,0.9044708582544566
0.5,-0.25,0.0,0.9054682930271489
0.5,-0.25,0.25,0.726708740129991
0.5,0.0,-0.5,0.7614888338125584
0.5,0.0,-0.25,0.916845788342711
0.5,0.0,0.0,0.9240190679290533
0.5,0.0,0.25,0.8620688090656409
0.5,0.0,0.5,0.7664293931202915
0.5,0.25,-0.25,0.7694563105027793
0.5,0.25,0.0,0.8951234523652285
0.5,0.25,0.25,0.8986060423904809
0.5,0.25,0.5,0.8717859463852626
0.5,0.25,0.75,0.7221831447652547
0.5,0.5,0.0,0.7145987681955018
0.5,0.5,0.25,0.8835892789455462
0.5,0.5,0.5,0.8529374338978083
0.5,0.5,0.75,0.805437224722638
